Jogo,Total de vendas
Silent Hill: Shattered Memories,1.3800000000000001
Command & Conquer: Tiberian Sun,1.55
Psycho-Pass: Mandatory Happiness,0.04
World Tour Soccer 2003,0.14
Naruto Shippuden: Ultimate Ninja Storm 3,1.46
Valkyrie Drive: Bhikkhuni,0.08
Kirby: Planet Robobot,0.8400000000000001
Last Window: The Secret of Cape West,0.22999999999999998
Miami Law,0.11
Naruto: Ninja Council 3,0.42000000000000004
Littlest Pet Shop: Jungle,0.6000000000000001
Mega Man Battle Network 4: Red Sun / Blue Moon,1.32
Clannad,0.14
La Corda d'Oro 4,0.02
Build-A-Bear Workshop: A Friend Fur All Seasons,0.37
Barbie Horse Adventures: Blue Ribbon Race,0.37
Deathrow: Underground Team Combat,0.060000000000000005
Tropix,0.06
Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,0.41
Skylanders: Spyro's Adventure,5.44
Jade Empire,0.7
ArmA III,0.12000000000000001
Crysis 3,2.4799999999999995
Bubble Bobble Evolution,0.03
NFL Fever 2003,0.6100000000000001
Samurai Shodown Sen,0.09
Naruto: Clash of Ninja 2,1.04
Checkers,0.23
Dungeons & Dragons: Shadow over Mystara,0.02
Fighting Vipers 2,0.04
Atari's Greatest Hits: Volume 1,0.14
Sushi Academy,0.09
Romancing SaGa 2,1.17
Saint Seiya: The Hades,0.04
DDRMAX2: Dance Dance Revolution,1.82
Otona no Renai Shousetsu: Harlequin Selection,0.02
Dead to Rights II,0.31
Fairy Tail: Portable Guild,0.11
Still Life 2,0.01
Tony Hawk's Underground 2 Remix,0.8200000000000001
Pop'n Music Portable,0.13
John Deere: Harvest in the Heartland,0.29000000000000004
Disney's Planes,0.7100000000000002
Suikoden IV,0.6500000000000001
The Awakened Fate Ultimatum,0.02
Tempest 3X,0.08
NHL Powerplay 98,0.05
Suikoden: Tsumugareshi Hyakunen no Toki,0.13
Double Dragon Advance,0.04
Tales of Phantasia,1.27
Murdered: Soul Suspect,0.8000000000000003
LifeSigns: Surgical Unit,0.02
Pirates of the Caribbean: Dead Man's Chest,1.0
The Cheetah Girls,0.01
Dragon Quest VII: Warriors of Eden,5.879999999999999
Puyo Puyo Tetris,0.22
Invizimals: The Alliance,0.07
Stake: Fortune Fighters,0.03
Trials Fusion,0.7000000000000001
Tail of the Sun,0.02
Codename: Panzers Phase Two,0.01
Batman & Robin,0.11
Fighting Force 64,0.11
Nil Admirari no Tenbin: Teito Genwaku Toukidan,0.02
Crazy Taxi 2,0.07
Dreamcast Collection,0.25
Gotouchi Kenkei DS,0.03
AMF Bowling 2004,0.29000000000000004
Nicktoons: Freeze Frame Frenzy,0.41
Gex,0.8800000000000001
Chameleon: To Dye For!,0.01
Nekketsu Kouha Kunio-Kun SP: Rantou Kyousoukyoku,0.03
NASCAR Heat Evolution,0.06
NBA ShootOut 2003,0.23
One Piece Unlimited Cruise 1: The Treasure Beneath the Waves,0.27
Backyard Wrestling: Don't Try This at Home,0.79
Final Fantasy VI,0.09
NASCAR,0.09999999999999999
Monster Hunter 4 Ultimate,3.89
Shirahana no Ori: Hiiro no Kakera 4 - Shiki no Uta,0.01
Castlevania Chronicles,0.13
The Lord of the Rings: Aragorn's Quest,0.7000000000000002
Mana Khemia: Student Alliance,0.09
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,0.4
Endgame,0.08
Zoobles! Spring to Life!,0.13
Need for Speed: Most Wanted,14.079999999999998
Katekyoo Hitman Reborn! Dream Hyper Battle!,0.02
StokEd,0.2
The Godfather (US sales),0.45000000000000007
Dai Senryaku VII: Modern Military Tactics,0.04
Cities XL 2012,0.07
PDC World Championship Darts: Pro Tour,0.25
Conan,0.54
Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,0.54
Warzone 2100,5.01
Shonen Jump's Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf,0.06
BeatMania Append 3rdMix,0.6000000000000001
Lufia: The Ruins of Lore,0.05
Dokapon Kingdom,0.25
Donkey Kong Jungle Climber,0.5700000000000001
Kamaitachi no Yoru 2: Tokubetsu Hen,0.01
Aegis of Earth: Protonovus Assault,0.08
Theresia...,0.06
Pachitte Chonmage Tatsujin 13: Pachinko Hissatsu Shigotojin III,0.08
Bust-A-Move DS,0.11
Apollo Justice: Ace Attorney,1.06
Viewtiful Joe: Red Hot Rumble,0.14
Akatsuki no Amaneka to Aoi Kyojin,0.01
UFC: Tapout,0.2
Mario & Luigi: Paper Jam,0.75
Beijing 2008,1.47
Fox Sports Golf '99,0.14
Disney Sing It,2.51
Clover no Kuni no Alice: Wonderful Wonder World,0.04
Ro-Kyu-Bu! Secret Photo Op,0.01
Lost Planet 3,0.39
A.C.E.: Another Century's Episode 3: The Final,0.26
Wizardry: Tale of the Forsaken Land,0.08
Splat Renegade Paintball,0.05
Calvin Tucker's Redneck Jamboree,0.31
To LoveRu Trouble: Waku Waku! Rinkangakkou-Hen,0.03
Ducati Moto,0.02
Super Monkey Ball: Step & Roll,0.41
Dynasty Warriors: Eiketsuden,0.01
NHL 97,0.47
Deca Sports 3,0.24
Dr. Seuss' The Cat in the Hat,0.65
Maximum Racing: GP Classic Racing,0.03
Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,0.04
Zero Escape: Zero Time Dilemma,0.12
Starry ? Sky: After Autumn,0.01
Best Of Tests,0.01
Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei,0.36
UFC Undisputed 3,2.0500000000000003
Densetsu no Stafi,0.47000000000000003
Jissen Pachi-Slot Hisshouhou! Mister Magic Neo,0.02
The Pinball of the Dead,0.07
T'ai Fu: Wrath of the Tiger,0.15000000000000002
NCAA GameBreaker 2000,0.4
Pac-Man World,1.4900000000000002
Caesar III,0.04
Imagine: Teacher,1.7199999999999998
Cate West: The Vanishing Files,0.18
NHL 06,0.9100000000000001
Super Robot Taisen A,0.36
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,0.67
Sorry! / Aggravation / Scrabble Junior,0.25
Homefront,2.6
Jack Keane,0.02
Bombastic,0.060000000000000005
Order Up!!,0.07
Danny Phantom: The Ultimate Enemy,0.22
Pro Farm 1,0.06999999999999999
Heavenly Sword,1.66
Rock Revolution,0.38
Foto Frenzy: Spot The Diffrence,0.31
Kamaitachi no Yoru × 3,0.16
Dora The Explorer: Dora Saves the Snow Princess,1.43
Mario Sports Mix,2.11
Invizimals: Shadow Zone,0.29000000000000004
1080°: TenEighty Snowboarding,2.0399999999999996
Hi-Octane: The Track Fights Back!,0.05
SPRay,0.04
Gem Quest: 4 Elements,0.11
NCAA GameBreaker 2004,0.23
Mega Man Battle Network,0.42000000000000004
Total Immersion Racing,0.13
Mini Ninjas,1.4100000000000004
Kirby's Dream Land,5.13
FIFA Soccer 13,16.150000000000002
Western Riding Academy,0.06
CSI: Crime Scene Investigation,0.12
Syndicate,0.39
Koihime Musou,0.05
Winter Stars,0.33
Virtua Fighter 5 Online,0.28
RR64: Ridge Racer 64,0.39
The Legend of Zelda: Link's Awakening DX,2.21
Zenses: Ocean,0.13
Tales of Berseria,0.33
Rise of the Tomb Raider,1.78
Tenchu: Fatal Shadows,0.18
Saltwater Sportfishing,0.21000000000000002
3D Baseball,0.03
Petz Fantasy 3D,0.07
Dream Club Zero Portable,0.03
Disney's Tarzan: Return to the Jungle,0.35
Ar tonelico: Melody of Elemia,0.1
